Issue Type,Summary,Description,Epic Link,Epic Name,Acceptance Criteria,Sprint Suggestion
Story,Produce step 11c: Duplicate clusters and best of breed,"Identify duplicate clusters: controls sharing (CT outcome AND Payment Nature AND lifecycle stage AND process scope) with mechanism similarity ≥0.75 (cosine of control description + automation level + control type embeddings; automation matters: automated check + manual reconciliation covering same CT/Nature/Stage are NOT duplicates, they are defence-in-depth). Score each cluster member via five-factor formula: 0.40×effectiveness + 0.25×automation + 0.20×incident-free history + 0.10×design clarity + 0.05×coverage breadth; highest score = best of breed nomination, others = retire/merge candidates. Weights are sponsor-tunable (formula structure fixed, weights adjustable post first-cut results). Effectiveness score: Effective=100, Largely Effective=75, Requires Improvement=40, Ineffective=0. Automation: Automated=100, Hybrid=60, Manual=30, Unknown=0. Incident-free: 100 if zero P1/P2 in 24mo, decrease by severity and recency (P1 recent = -50 points). Design clarity: LLM-scored once on description token length + structural completeness. Coverage breadth: % of cluster's process scope covered by this control.",Analytical outputs,,"1. Clustering logic: for each unique combination of (ct_outcome, payment_nature, lifecycle_stage), extract controls from bridge_table; within each combo group, compute pairwise mechanism similarity using control description embeddings (from step 8/9; if not saved, re-compute via embedding_service), automation_level (encoded as one-hot vector: Automated=[1,0,0], Hybrid=[0,1,0], Manual=[0,0,1]), control_type (encoded similarly); concatenate vectors, compute cosine similarity; IF similarity ≥0.75 AND automation_level differs → NOT duplicate (defence-in-depth); IF similarity ≥0.75 AND automation_level same → duplicate cluster; output cluster_id per control
2. Best-of-breed scoring: for each control in a cluster, compute: effectiveness_score = CASE overall_effectiveness WHEN 'Effective' THEN 100 WHEN 'Largely Effective' THEN 75 WHEN 'Requires Improvement' THEN 40 ELSE 0, automation_score = CASE automation_level WHEN 'Automated' THEN 100 WHEN 'Hybrid' THEN 60 WHEN 'Manual' THEN 30 ELSE 0, incident_free_score = 100 - (incident_count_linked_P1_24mo × 50) - (incident_count_linked_P2_24mo × 25) capped at 0, design_clarity_score = LLM-scored 0–100 on description completeness (run once per control; store in bridge or separate dataset), coverage_breadth_score = (count distinct processes this control linked to / count distinct processes in cluster) × 100; total_score = 0.40×effectiveness + 0.25×automation + 0.20×incident_free + 0.10×design_clarity + 0.05×coverage_breadth; within each cluster, rank by total_score descending; rank 1 = best_of_breed, rank >1 = retire/merge candidate
3. Output dataset: one row per control in a duplicate cluster: cluster_id, control_id, control_name, ct_outcome, payment_nature, lifecycle_stage, mechanism_similarity_to_cluster_centroid, effectiveness_score, automation_score, incident_free_score, design_clarity_score, coverage_breadth_score, total_score, rank_in_cluster, best_of_breed_flag, recommendation (Best-of-breed/Retire/Merge); export to 03_data/outputs/11c_duplicate_clusters.xlsx; run 02_code/sas/step11c_duplicates_best_of_breed.sas
4. Sponsor tuning: weights (0.40/0.25/0.20/0.10/0.05) stored in config file; if sponsor requests weight adjustment after first-cut review, update config and re-run scoring (formula structure unchanged)",Sprint 8
Story,Produce step 11d: Governance controls misclassified into Payments framework,"Filter bridge table for controls flagged framework_alignment='Governance' (from step 8 LLM classification) that were included via P1 taxonomy path (risk_library_id 7.4.x). These controls address governance/framework operation (policy authorship, committee oversight, training, framework compliance) rather than direct payment risk mitigation. Each surfaced control includes rationale from step 8 citing why it reads as governance. Output is de-scoping recommendation list for risk owners: controls that should be removed from Payments Risk framework and re-homed under Governance Risk or Operational Risk frameworks. Specifically requested by sponsor in project deck.",Analytical outputs,,"1. Governance-flagged controls extracted: query bridge_table WHERE framework_alignment='Governance' AND p1_fired=TRUE (controls tagged 7.4.x in JUNO taxonomy but classified as Governance by LLM in step 8); expect 30–100 controls (5–10% of payment control population based on pilot data)
2. Rationale included: for each control, extract ct_rationale from step08_control_ct_mapping where the rationale explains Governance classification (typically cites phrases like ""policy development"", ""committee review"", ""framework oversight"", ""training delivery"", ""compliance monitoring of the risk framework itself"" rather than ""payment transaction monitoring"" or ""customer payment validation"")
3. Output format: control_id, control_name, control_description (truncated to 200 chars for readability), owner_business_unit, current_risk_library_id (7.4.x tag), framework_alignment_flag='Governance', governance_rationale (from step 8), recommendation=""Remove from Payments Risk framework; re-home under Governance/Operational Risk"", priority (High if key_control_flag=TRUE, else Medium); export to 03_data/outputs/11d_governance_misclassified.xlsx
4. Run 02_code/sas/step11d_governance_misclassified.sas; output ready for risk owner review in sprint 7 demo",Sprint 7
Story,Produce step 11e: Gap register (six gap types),"Identify six gap types from bridge table and related datasets. Type A (no coverage): CT outcome with zero mapped controls in a given Payment Nature (query: GROUP BY payment_nature, ct_outcome HAVING COUNT(control_id)=0). Type B (rated insufficient): all mapped controls rated Requires Improvement or Ineffective (HAVING COUNT(control_id WHERE overall_effectiveness IN ('Effective','Largely Effective'))=0). Type C (unverified coverage): controls unrated or assessments stale >12 months (WHERE overall_effectiveness IS NULL OR assessment_date < today()-365). Type D (failing despite Strong rating): Strong-rated controls with recurring P1/P2 incidents or open issues (WHERE overall_effectiveness='Effective' AND (incident_count_P1_P2_24mo ≥2 OR issue_count_open >0)). Type E (misplacement): control at wrong lifecycle stage (from step 9 structural_check='Mismatch' where SME confirmed misplacement in PRS-23). Type F (process gap): payment process with zero linked controls (query step02_payment_process_register WHERE process_id NOT IN (SELECT DISTINCT process_id FROM bridge_table)). Gaps ranked by Payment Nature inherent risk (High > Medium > Low) + CT criticality (P0/P1/P2 labels applied per sponsor input on CT importance; CT22 Mistaken Internet Payments = P0, CT5 Incident Response = P1, etc.). All six types consolidated into single gap register with gap_type, affected_entity (CT/control/process), payment_nature, lifecycle_stage, severity, priority (P0/P1/P2), recommended_action.",Analytical outputs,,"1. Type A gaps (no coverage): query bridge_table to generate full cross-join of payment_nature × ct_outcome (5 natures × 28 CTs = 140 cells), LEFT JOIN to actual bridge rows GROUP BY nature, CT, count controls; WHERE count=0 → Type A gap; output: gap_type='A No coverage', payment_nature, ct_outcome, current_control_count=0, severity=nature_inherent_risk (High/Medium/Low), priority=CT_criticality (P0/P1/P2 from sponsor-provided CT criticality table)
2. Type B gaps (insufficient rating): query bridge_table GROUP BY payment_nature, ct_outcome HAVING SUM(CASE WHEN overall_effectiveness IN ('Effective','Largely Effective') THEN 1 ELSE 0 END)=0 AND COUNT(control_id)>0 (has controls but all rated insufficient); output gap_type='B Rated insufficient'
3. Type C gaps (unverified): query bridge_table WHERE overall_effectiveness IS NULL OR assessment_date < today()-365 GROUP BY payment_nature, ct_outcome, control_id; output gap_type='C Unverified coverage' with control_id list
4. Type D gaps (failing): query WHERE overall_effectiveness='Effective' AND (SELECT COUNT(*) FROM incidents WHERE ctrl_id=bridge.control_id AND severity IN ('P1','P2') AND incident_date > today()-730) ≥2; output gap_type='D Failing despite rating'
5. Type E gaps (misplacement): query step09_control_lifecycle WHERE structural_check='Mismatch' AND sme_confirmed_misplacement=TRUE (from PRS-23 SME queue resolution); output gap_type='E Misplacement' with control_id, current_stage, expected_stage
6. Type F gaps (process gap): query step02_payment_process_register WHERE process_id NOT IN bridge_table process_ids; output gap_type='F Process gap' with process_id, process_name
7. Consolidate and rank: UNION all six gap types; apply priority ranking: P0 = High-risk nature (C→C, I→C) + P0 CT (CT22, CT1, CT8, CT15); P1 = High-risk nature + P1 CT OR Medium-risk nature + P0 CT; P2 = all others; export to 03_data/outputs/11e_gap_register.xlsx with columns: gap_type, payment_nature, ct_outcome, control_id (if applicable), process_id (if applicable), severity, priority, recommended_action (auto-generated per gap type: A=""Design new control"", B=""Strengthen existing controls"", C=""Complete control assessment"", D=""Investigate rating vs incident contradiction"", E=""Reassign control to correct stage"", F=""Link controls to process or retire process from register""); run 02_code/sas/step11e_gap_register.sas",Sprint 8
Story,Produce step 11f: JUNO registration backlog,"Extract bespoke controls SME-confirmed as genuine controls (from step 5 validation; sme_confirmed=TRUE in step05_bespoke_controls.sas7bdat). These are unregistered controls operating in practice, now discovered via Holocentric steps, ALEX configs, or remediation text. Ranked by Payment Nature inherent risk + CT criticality (same P0/P1/P2 ranking as gap register). Full schema per runbook: bespoke_id, source_type (Holocentric-step/ALEX-config/remediation), source_id (step_id/config_id/incident_id), control_description, control_type, control_category, control_nature, linked_process_id, linked_process_name, linked_application_id, linked_application_name, ct_outcome (from step 8 mapping), payment_nature (from step 7), lifecycle_stage (from step 9), confidence (LLM confidence from discovery), sme_confirmation_date, sme_name, priority (P0/P1/P2), recommended_registration_owner (business_unit that should own this control in JUNO post-registration). This is the to-do list for JUNO registration work post-PoC.",Analytical outputs,,"1. Bespoke controls filtered: query step05_bespoke_controls WHERE sme_confirmed=TRUE (SME validated these are genuine controls, not false positives from LLM discovery); expect 50–200 controls depending on discovery stream success rates
2. Enrichment joins: LEFT JOIN to step08_control_ct_mapping ON bespoke_id to get ct_outcome list, LEFT JOIN to step07_control_payment_nature to get payment_nature, LEFT JOIN to step09_control_lifecycle to get lifecycle_stage, LEFT JOIN to linkage_ctrl_proc (for Holocentric-step source types) to get linked_process_id/name, LEFT JOIN to ALEX (for ALEX-config source types) to get linked_application_id/name
3. Priority ranking applied: same formula as 11e gap register: P0 = High-risk nature + P0 CT, P1 = High-risk nature + P1 CT OR Medium + P0, P2 = others; sort by priority descending, then by ct_outcome (CT1 first), then by payment_nature (C→C first)
4. Output dataset: bespoke_id, source_type, source_id, control_description (full text), control_type, control_category, control_nature, linked_process_id, linked_process_name, linked_application_id, linked_application_name, ct_outcome (comma-separated if multiple), payment_nature (comma-separated if multiple), lifecycle_stage, confidence, sme_confirmation_date, sme_name, priority, recommended_registration_owner (infer from linked_process owner_business_unit OR ALEX Application owner; if ambiguous, leave blank for manual assignment); export to 03_data/outputs/11f_juno_registration_backlog.xlsx; run 02_code/sas/step11f_juno_backlog.sas",Sprint 8
Story,Produce step 11g: Obligations coverage view,"For each Payments obligation (from P3 obligation linkage in step 4), list controls that cover it (via Control ↔ Obligation linkage in bridge table). Derive aggregate coverage rating per obligation: Strong (≥3 Effective controls linked), Moderate (1–2 Effective controls OR ≥3 controls with mixed ratings), Weak (only Requires Improvement / Ineffective controls), None (zero linked controls). Surface obligations with zero coverage or only Weak-rated controls as regulatory gap findings for compliance owners. Pure SAS query over bridge table and linkage_ctrl_oblig; no LLM workload. Obligation source context included (NPP/BECS/RBA/ePayments Code/AUSTRAC) to prioritise regulatory findings by regulator.",Analytical outputs,,"1. Obligations extracted: query 03_data/staging/obligations_staging.sas7bdat WHERE obligation_source IN ('NPP', 'BECS', 'RBA', 'ePayments Code', 'AUSTRAC', 'Payment Services Act') to get payment-relevant obligations; expect 100–300 obligations
2. Coverage per obligation computed: for each obligation_id, join to linkage_ctrl_oblig to get linked ctrl_id list, join to bridge_table to get control details + effectiveness ratings, aggregate: total_linked_controls = COUNT(DISTINCT ctrl_id), effective_controls = COUNT(DISTINCT ctrl_id WHERE overall_effectiveness='Effective'), largely_effective_controls = COUNT(WHERE overall_effectiveness='Largely Effective'), requires_improvement_controls = COUNT(WHERE overall_effectiveness='Requires Improvement'), ineffective_controls = COUNT(WHERE overall_effectiveness='Ineffective')
3. Coverage rating derived: coverage_rating = CASE WHEN effective_controls ≥3 THEN 'Strong' WHEN effective_controls + largely_effective_controls ≥1 THEN 'Moderate' WHEN total_linked_controls >0 AND effective_controls=0 THEN 'Weak' ELSE 'None' END
4. Regulatory gap findings extracted: obligations with coverage_rating IN ('None', 'Weak'); priority = High if obligation_source='NPP' OR 'AUSTRAC' (high regulatory scrutiny), Medium if 'BECS' OR 'RBA', Low if 'ePayments Code'; output to separate sheet in Excel: regulatory_gap_findings with obligation_id, obligation_text (truncated to 300 chars), obligation_source, coverage_rating, total_controls, effective_controls, priority, recommended_action=""Design controls to cover this obligation OR validate obligation applicability""
5. Full output: 03_data/outputs/11g_obligations_coverage.xlsx with two sheets: (1) All_Obligations (one row per obligation with coverage breakdown), (2) Regulatory_Gap_Findings (None/Weak obligations only); run 02_code/sas/step11g_obligations_coverage.sas",Sprint 8
Story,Produce step 11h: Monitoring baseline,"For each Master Control CT1–CT28: identify key controls (top-ranked by best-of-breed score from step 11c within each CT; if no duplicates, select controls with highest effectiveness rating + incident-free history), recommend monitoring intensity (Low/Medium/High/Critical) proportional to Payment Nature inherent risk + incident history (Critical = High-risk nature + recurring incidents, High = High-risk nature OR recurring incidents, Medium = Medium-risk nature, Low = Low-risk nature + stable history), list existing monitoring evidence (control assessments from JUNO.assessment_date, KRIs if available in separate monitoring dataset, automated monitoring jobs if ALEX has monitoring-type controls) vs gaps (CTs with zero monitoring evidence or stale assessments >12 months). Output is monitoring recommendation baseline: what monitoring should look like per CT, not the platform/system that delivers it (remediation is owner-driven post-PoC).",Analytical outputs,,"1. Key controls per CT identified: for each ct_outcome (CT1–CT28), query bridge_table to get all controls mapped to this CT, rank by: (a) best_of_breed score from 11c if control in a duplicate cluster, else (b) total_score = 0.50×(effectiveness rating 0–100) + 0.30×(incident-free score 0–100) + 0.20×(automation score 0–100); select top 3–5 controls per CT as ""key controls"" for monitoring focus
2. Monitoring intensity scored per CT: for each CT, aggregate across all controls: max_inherent_risk = MAX(nature_inherent_risk across all natures this CT covers), total_incidents_24mo = SUM(incident_count_linked WHERE incident_date > today()-730 across all controls in this CT), recurring_incidents_flag = (COUNT(DISTINCT ctrl_id WHERE incident_count_linked ≥2) >0); intensity = CASE WHEN max_inherent_risk='High' AND recurring_incidents_flag=TRUE THEN 'Critical' WHEN max_inherent_risk='High' OR recurring_incidents_flag=TRUE THEN 'High' WHEN max_inherent_risk='Medium' THEN 'Medium' ELSE 'Low' END
3. Existing monitoring evidence identified: for each CT, check: (a) control_assessments: COUNT(controls WHERE assessment_date > today()-365) = recent assessments, (b) KRIs: if separate KRI dataset available (not in base scope; check with data owners), join to CT to flag KRI existence, (c) automated_monitoring: COUNT(controls WHERE control_type='Monitoring' AND automation_level='Automated') = automated monitoring jobs; monitoring_evidence_score = (recent_assessments >0)*1 + (kri_exists)*1 + (automated_monitoring >0)*1 (range 0–3)
4. Gaps identified: monitoring_gap_flag = (monitoring_evidence_score =0 OR assessment_date < today()-365 for all controls in CT); recommended_action = CASE intensity WHEN 'Critical' THEN ""Implement real-time automated monitoring + monthly KRI + quarterly deep-dive assessment"" WHEN 'High' THEN ""Implement monthly KRI + quarterly assessment"" WHEN 'Medium' THEN ""Implement quarterly KRI + semi-annual assessment"" WHEN 'Low' THEN ""Annual assessment sufficient"" END
5. Output dataset: one row per CT: ct_outcome, key_controls (comma-separated ctrl_id list with names), monitoring_intensity, max_inherent_risk, total_incidents_24mo, existing_monitoring_evidence (text summary: ""3 recent assessments, 1 KRI, 2 automated jobs""), monitoring_gap_flag, recommended_action; export to 03_data/outputs/11h_monitoring_baseline.xlsx; run 02_code/sas/step11h_monitoring_baseline.sas",Sprint 8
Story,Build golden set for step 2 PP6 validation (SME-led),"SME from Line 1 Risk and Compliance constructs stratified reference set of ~30 Holocentric processes covering: clear-in payment processes (should be included; e.g., 'BPAY Payment Processing', 'NPP Inbound Settlements'), clear-out non-payment processes (should be excluded; e.g., 'Employee Onboarding', 'Credit Card Application Processing' if outside payment operations), payment-process-in-non-payments-value-chain edge cases (e.g., 'Fraud Investigation Workflow' which touches payments but sits under Fraud value stream; SME adjudicates inclusion). Independent LRM (different model family from primary, blind to primary's prompts/results) verifies SME labels by classifying same 30 processes from scratch. Primary model measured against SME reference (not against independent LRM; SME is ground truth). Target: false-negative rate ≤0.10 (i.e., of processes SME labelled as payment processes, LLM misses ≤10%). If target met, PP6 scales to full Holocentric universe in PRS-10. If not, iterate prompt and re-run validation.",Validation and audit,,"1. SME constructs reference set: SME reviews Holocentric process universe (from step01_profile_and_load), selects ~30 processes with stratification: 10 clear-in (obvious payment processes from Payments L2 hierarchy or Request-to-Payment value stream), 10 clear-out (obvious non-payment from HR/Finance/IT L2 hierarchies), 10 edge cases (payment-adjacent: fraud, disputes, customer onboarding with payment account setup, reconciliation processes that touch payments); SME labels each: is_payment_process (Boolean TRUE/FALSE), confidence_in_label (High/Medium/Low to flag ambiguous cases), rationale (1 sentence why included/excluded)
2. Independent LRM verifies SME labels: run independent model (different family from primary; e.g., if primary is Claude, use Gemini for independent) with prompt ""Classify whether this process is a payment process"" + process details, blind to SME labels; independent model classifies same 30 processes; compare independent_result to SME_label; disagreements queued for SME adjudication (SME reviews and confirms/revises label); final SME-confirmed labels become reference
3. Primary model measured against SME reference: run primary model (step 2 PP6 prompt from 01_prompts/step02_process_inclusion_pp6.txt) on same 30 processes, record primary_result (included/excluded based on similarity threshold from calibration); compare to SME_label; measure: true_positives (SME=TRUE, primary=included), false_negatives (SME=TRUE, primary=excluded), false_positives (SME=FALSE, primary=included), true_negatives (SME=FALSE, primary=excluded); compute FNR = false_negatives / (true_positives + false_negatives); target FNR ≤0.10
4. Validation result: if FNR ≤0.10, validation PASS; save result to 03_data/validation/validation_results_step02.xlsx with golden_set.csv (30 processes + SME labels), primary_predictions.csv, independent_predictions.csv, metrics.csv (FNR, precision, recall); if FNR >0.10, validation FAIL; iterate prompt (adjust similarity threshold, refine process description input, add more context), re-run validation until pass; golden set used in PRS-10 for PP6 calibration",Sprint 3
Story,Build golden set for step 3 Payment Nature validation (SME-led),"SME constructs ~30 processes covering: clear single-nature processes (10 processes with obvious single nature: e.g., 'BPAY Customer Payments' = C→C only, 'Supplier Invoice Payments' = Supplier/Employee only), multi-nature processes (10 processes serving multiple flows: e.g., 'General Ledger Posting' touches all natures, 'Wholesale Payments Hub' handles both I→I and I→C), ambiguous processes (10 edge cases where nature is hard to determine from description alone; SME uses business knowledge to classify). Independent LRM verifies SME labels. Primary model measured against SME reference. Targets: per-nature precision ≥0.85 (of LLM's C→C assignments, ≥85% match SME), per-nature recall ≥0.80 (of SME's C→C labels, LLM identifies ≥80%). Measured separately for each of the five natures. If targets met, step 3 scales to full process register in PRS-18. If not, iterate prompt.",Validation and audit,,"1. SME constructs reference set: select ~30 processes from step02_payment_process_register (post-convergence) with stratification: 10 single-nature (2 per nature: C→C, I→C, C→I, I→I, Supplier/Employee), 10 multi-nature (processes serving 2–3 flows simultaneously), 10 ambiguous (payment clearing processes that could be I→I or I→C depending on participant type; reconciliation processes that touch all natures); SME labels each with: applicable_natures (array of 1–N natures), confidence_per_nature (High/Medium for each assigned nature), rationale
2. Independent LRM verifies: run independent model on same 30 processes with Payment Nature classification prompt, blind to SME labels; compare independent_result to SME_label per nature; disagreements adjudicated by SME; final SME-confirmed labels = reference
3. Primary model measured: run primary model (prompt 01_prompts/step03_payment_nature_processes.txt) on 30 processes; for each of the 5 natures, compute: precision_C2C = (count processes where LLM assigned C→C AND SME assigned C→C) / (count processes where LLM assigned C→C), recall_C2C = (count processes where LLM assigned C→C AND SME assigned C→C) / (count processes where SME assigned C→C); repeat for I→C, C→I, I→I, Supplier/Employee
4. Validation result: if ALL five natures meet precision ≥0.85 AND recall ≥0.80, validation PASS; save to 03_data/validation/validation_results_step03.xlsx; if any nature misses target, validation FAIL; iterate prompt (add more nature-specific examples, refine rationale-grounding requirement, adjust confidence rubric), re-run until pass; used in PRS-18",Sprint 5
Story,Build golden set for step 5 bespoke discovery validation (SME-led),"SME labels ~40 items across three bespoke discovery streams: ~20 Holocentric process steps (10 that perform control function like 'Approve payment batch before release' → is_control=TRUE, 10 that are process actions not controls like 'Generate payment file' → is_control=FALSE), ~10 ALEX configuration items (if ALEX available; mix of enforcement rules that are controls vs configuration settings that are not), ~10 incident/issue remediation texts (mix of texts describing new controls implemented vs texts describing process changes without control element). Independent LRM verifies SME labels. Primary model measured. Target: precision ≥0.75 (of LLM's is_control=TRUE classifications, ≥75% match SME; acceptable to miss some bespoke controls in discovery phase as long as false-positive rate is low to avoid overwhelming SME review queue). If target met, step 5 scales in PRS-14/15/16. If not, iterate prompts.",Validation and audit,,"1. SME constructs reference set: (a) 20 Holocentric steps: randomly sample 20 steps from payment processes (from step02_payment_process_register), SME labels is_control (TRUE/FALSE), control_type (if TRUE: check/approval/validation/reconciliation/etc), confidence, rationale; (b) 10 ALEX configs: if ALEX available, randomly sample 10 config items from payment-relevant applications, SME labels same schema; (c) 10 remediation texts: sample 10 incident/issue remediation texts from payments-classified incidents, SME extracts control statements (0–N per text), labels each extracted statement is_control, control_type
2. Independent LRM verifies: run independent model on same 40 items (20 steps + 10 configs + 10 texts) with bespoke discovery prompts (01_prompts/validation_independent_step05_*.txt for each stream), blind to SME; compare; SME adjudicates disagreements; final labels = reference
3. Primary model measured: run primary model (prompts 01_prompts/step05a/b/c_*.txt) on 40 items; for binary classification (is_control TRUE/FALSE), compute: precision = true_positives / (true_positives + false_positives) where TP = LLM said TRUE AND SME said TRUE, FP = LLM said TRUE AND SME said FALSE; target precision ≥0.75 (accept some false negatives in discovery; prioritise low false positive rate to avoid SME queue overload)
4. Validation result: if precision ≥0.75 across all three streams (measure separately: Holocentric, ALEX, remediation), validation PASS; save to 03_data/validation/validation_results_step05.xlsx with golden_set_step05_bespoke.csv (40 items + SME labels + primary predictions); if precision <0.75 any stream, validation FAIL; iterate prompts for failing stream(s); re-run; used in PRS-14/15/16",Sprint 4
Story,Build golden set for step 8 CT mapping validation (SME-led),"SME constructs ~50 controls stratified by: Master Control coverage (2 controls per CT to cover all CT1–CT28; some controls map to multiple CTs so total <56), automation level (mix of automated/hybrid/manual), key control flag (mix of key controls and non-key), source type (mix of JUNO and bespoke from each discovery stream). SME assigns CT outcomes per control (1–N CTs per control), with confidence per CT and rationale grounded in control description. Independent LRM verifies SME labels. Primary model measured. Targets: CT-level precision ≥0.85 (of LLM's CT8 assignments across all controls, ≥85% match SME), CT-level recall ≥0.80 (of SME's CT8 labels, LLM identifies ≥80%). Measured per CT, then averaged. If targets met, step 8 scales to full control population in PRS-22. If not, iterate prompt. This is the most critical validation gate as CT mapping is the core sufficiency assessment.",Validation and audit,,"1. SME constructs reference set: select ~50 controls from unified_controls (JUNO + bespoke post step 5) with stratification: cover all 28 CTs (select 2 exemplar controls per CT where possible; some CTs like CT22 Mistaken Internet Payments may have few controls, select all available), mix automation levels (16 automated, 17 hybrid, 17 manual), mix key_control_flag (25 key, 25 non-key), mix source types (40 JUNO, 5 Holocentric-step bespoke, 3 ALEX bespoke, 2 remediation bespoke); SME labels each control with: applicable_CTs (array of CT outcomes), per_CT_confidence (High/Medium/Low per CT), per_CT_rationale (cite control_description phrase justifying each CT; demonstrate rationale grounding)
2. Independent LRM verifies: run independent model on same 50 controls with CT mapping prompt, blind to SME; compare per CT; SME adjudicates disagreements; final labels = reference
3. Primary model measured: run primary model (prompt 01_prompts/step08_master_control_mapping.txt) on 50 controls; for each of 28 CTs, compute: precision_CT8 = (count controls where LLM assigned CT8 AND SME assigned CT8) / (count controls where LLM assigned CT8), recall_CT8 = (count controls where LLM assigned CT8 AND SME assigned CT8) / (count controls where SME assigned CT8); average precision across all 28 CTs, average recall across all 28 CTs
4. Validation result: if average_precision ≥0.85 AND average_recall ≥0.80, validation PASS; additionally measure per-CT precision/recall to identify problematic CTs (if CT22 has precision 0.60 while others >0.85, indicates CT22 definition needs clarification in prompt); save to 03_data/validation/validation_results_step08.xlsx with per-CT breakdown; if targets missed, iterate prompt (refine CT definitions, add more Direct/Partial/Adjacent examples, strengthen rationale-grounding enforcement); re-run; used in PRS-22",Sprint 6
Story,Build golden set for step 9 lifecycle placement validation (SME-led),"Same ~50 controls as step 8 golden set (reuse for efficiency; controls already stratified and SME-labelled for CTs). SME assigns lifecycle stage A–G per control, with confidence and rationale. For controls with Holocentric step linkage, SME also records whether structural-expected stage (derived from step label in 9a) is correct (validates Holocentric step labelling quality). Independent LRM verifies SME labels. Primary model measured. Target: exact-match accuracy ≥0.80 (of 50 controls, LLM assigns correct stage for ≥40). Stage placement is less critical than CT mapping (lifecycle informs gap prioritisation but does not change sufficiency finding), so slightly lower threshold acceptable. If target met, step 9 scales in PRS-23. If not, iterate prompt.",Validation and audit,,"1. SME assigns lifecycle stages: reuse 50 controls from step 8 golden set (already selected and CT-labelled); SME adds lifecycle_stage assignment per control (A Initiation through G Returns and Recoveries), confidence (High/Medium/Low), rationale (cite control description or linked process context justifying stage); for controls with Holocentric linkage, SME validates structural_expected_stage from step 9a (is the Holocentric step label correct? if control linked to step labelled 'Validation' but control actually operates at 'Settlement' stage, SME flags Holocentric label error)
2. Independent LRM verifies: run independent model on same 50 controls with lifecycle placement prompt, blind to SME; compare; SME adjudicates disagreements; final labels = reference
3. Primary model measured: run primary model (prompt 01_prompts/step09_lifecycle_placement.txt OR combined step08+09 prompt if single call) on 50 controls; compute exact_match_accuracy = (count controls where LLM stage = SME stage) / 50; target ≥0.80 (40+ correct)
4. Validation result: if exact_match_accuracy ≥0.80, validation PASS; save to 03_data/validation/validation_results_step09.xlsx with golden_set_step09_lifecycle.csv (same 50 controls + SME lifecycle labels + primary predictions); if accuracy <0.80, validation FAIL; analyse errors: are errors concentrated in specific stages (e.g., B vs C confusion; F vs G confusion)? iterate prompt with more stage-specific examples and clarifications; re-run; used in PRS-23",Sprint 6
